id,japanese_content,english_content,kanji_references,vocab_references,reading,romaji
d018,合わせて千五百円になります。,The total comes to one thousand five hundred yen.,,,あわせてせんごひゃくえんになります。,Awasete sen go-hyaku-en ni narimasu.
d019,このシャツはいくらですか。,How much is this shirt?,,,このシャツはいくらですか。,Kono shatsu wa ikura desu ka.
d020,三千円です。,It is three thousand yen.,,,さんぜんえんです。,San-zen-en desu.
d021,少し安くなりますか。,Can you make it a little cheaper?,,,すこしやすくなりますか。,Sukoshi yasuku narimasu ka.
d022,申し訳ありませんが、値引きはできません。,I'm sorry but we cannot discount it.,,,もうしわけありませんが、ねびきはできません。,Moushiwake arimasen ga, nebiki wa dekimasen.
d023,では、これをください。,Then I will take this please.,,,では、これをください。,Dewa, kore wo kudasai.
d024,今日の天気はどうですか。,How is the weather today?,,,きょうのてんきはどうですか。,Kyou no tenki wa dou desu ka.
d025,曇っていますが、午後から晴れるそうです。,It is cloudy but I hear it will clear up in the afternoon.,,,くもっていますが、ごごからはれるそうです。,Kumotte imasu ga, gogo kara hareru sou desu.
d026,最近とても寒いですね。,It has been very cold lately hasn't it.,,,さいきんとてもさむいですね。,Saikin totemo samui desu ne.
d027,そうですね。もうすぐ冬ですから。,That's right. It is almost winter after all.,,,そうですね。もうすぐふゆですから。,Sou desu ne. Mou sugu fuyu desu kara.
d028,気分はどうですか。,How are you feeling?,,,きぶんはどうですか。,Kibun wa dou desu ka.
d029,あまりよくないです。頭が痛いです。,Not very well. I have a headache.,,,あまりよくないです。あたまがいたいです。,Amari yokunai desu. Atama ga itai desu.
d030,大変ですね。お大事に。,That must be tough. Please take care.,,,たいへんですね。おだいじに。,Taihen desu ne. Odaiji ni.
d031,今週末、何か予定がありますか。,Do you have any plans this weekend?,,,こんしゅうまつ、なにかよていがありますか。,Konshuu-matsu, nanika yotei ga arimasu ka.
d032,特にありませんが、どうかしましたか。,Nothing in particular, did something happen?,,,とくにありませんが、どうかしましたか。,Toku ni arimasen ga, dou ka shimashita ka.
d033,映画を見に行きませんか。新しいアクション映画が来ているんです。,Shall we go see a movie? A new action film has arrived.,,,えいがをみにいきませんか。あたらしいアクションえいががきているんです。,Eiga wo mi ni ikimasen ka. Atarashii akushon eiga ga kite iru n desu.
d034,いいですね。何時に始まりますか。,That sounds great. What time does it start?,,,いいですね。なんじにはじまりますか。,Ii desu ne. Nanji ni hajimarimasu ka.
d035,三時からです。駅で待ち合わせましょう。,It starts at three. Let's meet at the station.,,,さんじからです。えきでまちあわせましょう。,Sanji kara desu. Eki de machiawasemashoo.
d036,わかりました。じゃあ、二時半に駅の改札前で。,Understood. Then let's meet at the ticket gate at two thirty.,,,わかりました。じゃあ、にじはんにえきのかいさつまえで。,Wakarimashita. Jaa, niji-han ni eki no kaisatsu mae de.
d037,日本語の勉強はどうですか。,How is your Japanese study going?,,,にほんごのべんきょうはどうですか。,Nihongo no benkyou wa dou desu ka.
d038,最近難しくなってきました。漢字が覚えられません。,Recently it has been getting harder. I cannot remember the kanji.,,,さいきんむずかしくなってきました。かんじがおぼえられません。,Saikin muzukashiku natte kimashita. Kanji ga oboeraremasen.
d039,私も最初は大変でした。毎日少しずつ練習するといいですよ。,It was hard for me at first too. It's good to practice a little every day.,,,わたしもさいしょはたいへんでした。まいにちすこしずつれんしゅうするといいですよ。,Watashi mo saisho wa taihen deshita. Mainichi sukoshi zutsu renshuu suru to ii desu yo.
d040,アドバイスをありがとうございます。頑張ります。,Thank you for the advice. I will do my best.,,,アドバイスをありがとうございます。がんばります。,Adobaisu wo arigatou gozaimasu. Ganbarimasu.
d041,この電車は新宿に止まりますか。,Does this train stop at Shinjuku?,,,このでんしゃはしんじゅくにとまりますか。,Kono densha wa Shinjuku ni tomarimasu ka.
d042,はい、次の駅が新宿です。,Yes, the next station is Shinjuku.,,,はい、つぎのえきがしんじゅくです。,Hai, tsugi no eki ga Shinjuku desu.
d043,東京駅まで何駅ありますか。,How many stations are there to Tokyo Station?,,,とうきょうえきまでなんえきありますか。,Tokyo-eki made nan-eki arimasu ka.
d044,三駅です。約十分かかります。,There are three stations. It takes about ten minutes.,,,みっつえきです。やくじゅっぷんかかります。,Mittsu-eki desu. Yaku juppun kakarimasu.
d045,ありがとうございます。助かりました。,Thank you. That was helpful.,,,ありがとうございます。たすかりました。,Arigatou gozaimasu. Tasukarimashita.
d046,これ、好きですか。,Do you like this?,,,これ、すきですか。,Kore, suki desu ka.
d047,はい、とても好きです。特に音楽が好きです。,Yes, I like it very much. Especially music.,,,はい、とてもすきです。とくにおんがくがすきです。,Hai, totemo suki desu. Toku ni ongaku ga suki desu.
d048,どんな音楽が好きですか。,What kind of music do you like?,,,どんなおんがくがすきですか。,Donna ongaku ga suki desu ka.
d049,ポップスが一番好きです。,I like pop music the most.,,,ポップスがいちばんすきです。,Poppusu ga ichiban suki desu.
d050,予約をしたいのですが。,I would like to make a reservation.,,,よやくをしたいのですが。,Yoyaku wo shitai no desu ga.
d051,何名様でいつですか。,For how many people and when?,,,なんめいさまでいつですか。,Nan-mei-sama de itsu desu ka.
d052,来週の土曜日、二名でお願いします。,Next Saturday for two people please.,,,らいしゅうのどようび、ふためいでおねがいします。,Raishuu no doyoubi, futamei de onegaishimasu.
d053,おそれ入りますが、その日は満席です。,I'm terribly sorry but that day is fully booked.,,,おそれいりますが、そのひはまんせきです。,Osoreirimasu ga, sono hi wa manseki desu.
d054,では、日曜日はどうですか。,Then how about Sunday?,,,では、にちようびはどうですか。,Dewa, nichiyoubi wa dou desu ka.
d055,日曜日でしたら大丈夫です。何時がよろしいですか。,If it's Sunday that will be fine. What time would be good?,,,にちようびでしたらだいじょうぶです。なんじがよろしいですか。,Nichiyoubi deshitara daijoubu desu. Nanji ga yoroshii desu ka.
d056,七時でお願いします。,Seven o'clock please.,,,しちじでおねがいします。,Shichiji de onegaishimasu.
d057,田中さんのことが心配です。最近元気がないようですね。,I am worried about Tanaka-san. They don't seem to have much energy lately.,,,たなかさんのことがしんぱいです。さいきんげんきがないようですね。,Tanaka-san no koto ga shinpai desu. Saikin genki ga nai you desu ne.
d058,そうですね。何か悩みがあるのかもしれません。,That's right. They may have some worries.,,,そうですね。なにかなやみがあるのかもしれません。,Sou desu ne. Nanika nayami ga aru no kamo shiremasen.
d059,今日は何をしますか。,What will you do today?,,,きょうはなにをしますか。,Kyou wa nani wo shimasu ka.
d060,図書館で勉強してから、友達と買い物に行くつもりです。,I plan to study at the library and then go shopping with a friend.,,,としょかんでべんきょうしてから、ともだちとかいものにいくつもりです。,Toshokan de benkyou shite kara, tomodachi to kaimono ni iku tsumori desu.
d061,すみません、渋谷駅はどこですか。,Excuse me, where is Shibuya Station?,,,すみません、しぶやえきはどこですか。,Sumimasen, Shibuya eki wa doko desu ka.
d062,この道をまっすぐ行って、二つ目の角を右に曲がってください。,Go straight down this street and turn right at the second corner.,,,このみちをまっすぐいって、ふたつめのかどをみぎにまがってください。,Kono michi wo massugu itte, futatsu-me no kado wo migi ni magatte kudasai.
d063,ありがとうございます。歩いて何分ぐらいかかりますか。,Thank you. About how many minutes does it take on foot?,,,ありがとうございます。あるいてなんぷんぐらいかかりますか。,Arigatou gozaimasu. Aruite nanpun gurai kakarimasu ka.
d064,だいたい十分ぐらいです。,About ten minutes.,,,だいたいじゅっぷんぐらいです。,Daitai juppun gurai desu.
d065,新幹線で東京から大阪まで行きたいのですが。,I would like to go from Tokyo to Osaka by shinkansen.,,,しんかんせんでとうきょうからおおさかまでいきたいのですが。,Shinkansen de Tokyo kara Osaka made ikitai no desu ga.
d066,指定席と自由席、どちらになさいますか。,Reserved seat or unreserved seat, which would you prefer?,,,していせきとじゆうせき、どちらになさいますか。,Shiteiseki to jiyuuseki, dochira ni nasaimasu ka.
d067,指定席でお願いします。窓側の席はありますか。,Reserved please. Is there a window seat available?,,,していせきでおねがいします。まどがわのせきはありますか。,Shiteiseki de onegai shimasu. Madogawa no seki wa arimasu ka.
d068,はい、ございます。何時の列車になさいますか。,Yes, we have some. What time train would you like?,,,はい、ございます。なんじのれっしゃになさいますか。,Hai, gozaimasu. Nanji no ressha ni nasaimasu ka.
d069,チェックインをお願いしたいのですが。,I would like to check in.,,,チェックインをおねがいしたいのですが。,Chekkuin wo onegai shitai no desu ga.
d070,ご予約のお名前をお聞かせいただけますか。,Could I have your reservation name please?,,,ごよやくのおなまえをおきかせいただけますか。,Go-yoyaku no onamae wo okikase itadakemasu ka.
d071,田中と申します。,My name is Tanaka.,,,たなかともうします。,Tanaka to moushimasu.
d072,ありがとうございます。お部屋は312号室でございます。こちらがカードキーです。,Thank you. Your room is 312. Here is your card key.,,,ありがとうございます。おへやは312ごうしつでございます。こちらがカードキーです。,Arigatou gozaimasu. Oheya wa 312 goushitsu de gozaimasu. Kochira ga kaado kii desu.
d073,このお店、雰囲気がいいですね。,This restaurant has a nice atmosphere.,,,このおみせ、ふんいきがいいですね。,Kono omise, fun'iki ga ii desu ne.
d074,そうですね。前から来てみたかったんです。,Yes, I've been wanting to come here for a while.,,,そうですね。まえからきてみたかったんです。,Sou desu ne. Mae kara kite mitakattan desu.
d075,どれもおいしそうですね。何にしますか。,Everything looks delicious. What will you have?,,,どれもおいしそうですね。なににしますか。,Dore mo oishisou desu ne. Nani ni shimasu ka.
d076,私は魚料理にします。田中さんはいかがですか。,I'll have the fish dish. How about you, Tanaka-san?,,,わたしはさかなりょうりにします。たなかさんはいかがですか。,Watashi wa sakana ryouri ni shimasu. Tanaka-san wa ikaga desu ka.
d077,温めますか。,Shall I heat it up?,,,あたためますか。,Atatame masu ka.
d078,はい、お願いします。,Yes, please.,,,はい、おねがいします。,Hai, onegai shimasu.
d079,袋はご利用ですか。,Would you like a bag?,,,ふくろはごりようですか。,Fukuro wa goriyou desu ka.
d080,結構です。,That's fine, thank you. (No thanks needed.),,,けっこうです。,Kekkou desu.
d081,お疲れさまでした。今日は大変でしたね。,Thank you for your hard work. Today was tough, wasn't it.,,,おつかれさまでした。きょうはたいへんでしたね。,Otsukaresama deshita. Kyou wa taihen deshita ne.
d082,そうですね。でも、プロジェクトが無事に終わって良かったです。,Yes indeed. But I'm glad the project wrapped up without problems.,,,そうですね。でも、プロジェクトがぶじにおわってよかったです。,Sou desu ne. Demo, purojekuto ga buji ni owatte yokatta desu.
d083,明日からは少し楽になりそうですね。,From tomorrow it should be a little easier.,,,あしたからはすこしらくになりそうですね。,Ashita kara wa sukoshi raku ni narisou desu ne.
d084,最近、何か趣味はありますか。,Do you have any hobbies recently?,,,さいきん、なにかしゅみはありますか。,Saikin, nanika shumi wa arimasu ka.
d085,料理を始めました。毎週末、新しいレシピに挑戦しています。,I started cooking. Every weekend I challenge myself with a new recipe.,,,りょうりをはじめました。まいしゅうまつ、あたらしいレシピにちょうせんしています。,Ryouri wo hajimemashita. Mai shuumatsu, atarashii reshipi ni chousen shite imasu.
d086,いいですね。どんな料理が得意ですか。,That's great. What kind of cooking are you good at?,,,いいですね。どんなりょうりがとくいですか。,Ii desu ne. Donna ryouri ga tokui desu ka.
d087,和食が多いです。最近は出汁の取り方を練習しています。,Mostly Japanese food. Lately I've been practicing how to make dashi stock.,,,わしょくがおおいです。さいきんはだしのとりかたをれんしゅうしています。,Washoku ga ooi desu. Saikin wa dashi no torikata wo renshuu shite imasu.
d088,実は相談したいことがあるんですが、少し時間がありますか。,Actually, there's something I'd like to consult you about — do you have a moment?,,,じつはそうだんしたいことがあるんですが、すこしじかんがありますか。,Jitsu wa soudan shitai koto ga arun desu ga, sukoshi jikan ga arimasu ka.
d089,もちろんです。何でも話してください。,Of course. Please tell me anything.,,,もちろんです。なんでもはなしてください。,Mochiron desu. Nan demo hanashite kudasai.
d090,仕事のことで悩んでいて、転職を考えているんです。,I've been troubled about work and I'm thinking about changing jobs.,,,しごとのことでなやんでいて、てんしょくをかんがえているんです。,Shigoto no koto de nayande ite, tenshoku wo kangaete irun desu.
d091,そうですか。どんなことが一番気になっているんですか。,I see. What is the thing that bothers you the most?,,,そうですか。どんなことがいちばんきになっているんですか。,Sou desu ka. Donna koto ga ichiban ki ni natte irun desu ka.
d092,明日の天気予報によると、台風が来るらしいですね。,According to tomorrow's weather forecast, a typhoon seems to be coming.,,,あしたのてんきよほうによると、たいふうがくるらしいですね。,Ashita no tenki yohou ni yoru to, taifuu ga kuru rashii desu ne.
d093,そうなんですか。外出の予定を変えた方がいいかもしれませんね。,Is that so? I might want to change my plans to go out.,,,そうなんですか。がいしゅつのよていをかえたほうがいいかもしれませんね。,Sou nan desu ka. Gaishutsu no yotei wo kaeta hou ga ii kamo shiremasen ne.
d094,最近、肩こりがひどくて、頭痛もあります。,Recently I have bad shoulder stiffness and also headaches.,,,さいきん、かたこりがひどくて、ずつうもあります。,Saikin, katakori ga hidokute, zutsuu mo arimasu.
d095,いつ頃からですか。,About when did it start?,,,いつごろからですか。,Itsu goro kara desu ka.
d096,一週間くらい前からです。デスクワークが多いので、姿勢が悪いのかもしれません。,About a week ago. I do a lot of desk work so my posture might be bad.,,,いっしゅうかんくらいまえからです。デスクワークがおおいので、しせいがわるいのかもしれません。,Isshuukan kurai mae kara desu. Desuku waaku ga ooi no de, shisei ga warui no kamo shiremasen.
d097,先日ご提案いただいた件について、社内で検討した結果をご報告いたします。,I would like to report the result of our internal deliberation on the matter you proposed the other day.,,,せんじつごていあんいただいたけんについて、しゃないでけんとうしたけっかをごほうこくいたします。,Senjitsu go-teian itadaita ken ni tsuite, shanai de kentou shita kekka wo go-houkoku itashimasu.
d098,ありがとうございます。どのようなご判断でしょうか。,Thank you. What was your decision?,,,ありがとうございます。どのようなごはんだんでしょうか。,Arigatou gozaimasu. Dono you na go-handan deshou ka.
d099,基本的には賛成の方向ではありますが、いくつか条件をつけさせていただければと思います。,We are essentially in favor, but we would like to attach a few conditions.,,,きほんてきにはさんせいのほうこうではありますが、いくつかじょうけんをつけさせていただければとおもいます。,Kihonteki ni wa sansei no houkou de wa arimasu ga, ikutsu ka jouken wo tsukesasete itadakereba to omoimasu.
d100,もちろんです。ご条件の詳細をお聞かせいただけますでしょうか。,Of course. Could you share the details of the conditions?,,,もちろんです。ごじょうけんのしょうさいをおきかせいただけますでしょうか。,Mochiron desu. Go-jouken no shousai wo okikase itadakemasu deshou ka.
