id,kanji,kanji_radicals,romaji,pitch_accent,hiragana,example_references,alternate_reading,meaning,theme,radical_references,jlpt_level,unlocked_at_grammar_id
n077,朝,,asa,LH,あさ,,,morning,time,,N5,
n078,昼,,hiru,LH,ひる,,,noon / daytime,time,,N5,
n079,夜,,yoru,LH,よる,,,night / evening,time,,N5,
n080,今日,,kyou,LH,きょう,,,today,time,,N5,
n081,明日,,ashita,LHLL,あした,,,tomorrow,time,,N5,
n082,昨日,,kinou,LHLL,きのう,,,yesterday,time,,N5,
n083,今年,,kotoshi,LHLL,ことし,,,this year,time,,N5,
n084,来年,,rainen,LHHL,らいねん,,,next year,time,,N4,
n085,先週,,senshuu,LHHL,せんしゅう,,,last week,time,,N5,
n086,来週,,raishuu,LHHL,らいしゅう,,,next week,time,,N5,
n087,名前,,namae,LHLL,なまえ,,,name,people,,N5,
n088,言葉,,kotoba,LHLL,ことば,,,word / language,study,,N5,
n089,日本語,,nihongo,LHHLL,にほんご,,,Japanese language,study,,N5,
n090,英語,,eigo,LHLL,えいご,,,English language,study,,N5,
n091,本,,hon,H,ほん,,,book,object,,N5,
n092,新聞,,shinbun,LHHL,しんぶん,,,newspaper,object,,N5,
n093,雑誌,,zasshi,LHLL,ざっし,,,magazine,object,,N4,
n094,手紙,,tegami,LHLL,てがみ,,,letter (correspondence),object,,N5,
n095,写真,,shashin,LHLL,しゃしん,,,photograph,object,,N5,
n096,電話,,denwa,LHLL,でんわ,,,telephone,object,,N5,
n097,テレビ,,terebi,LHLL,テレビ,,,television,object,,N5,
n098,コンピューター,,konpyuutaa,LHHHLL,コンピューター,,,computer,object,,N5,
n099,鍵,,kagi,LHL,かぎ,,,key,object,,N4,
n100,財布,,saifu,LHLL,さいふ,,,wallet / purse,object,,N4,
n101,服,,fuku,LH,ふく,,,clothes,object,,N5,
n102,靴,,kutsu,LH,くつ,,,shoes,object,,N5,
n103,帽子,,boushi,LHLL,ぼうし,,,hat / cap,object,,N5,
n104,眼鏡,,megane,LHLL,めがね,,,glasses / spectacles,object,,N5,
n105,荷物,,nimotsu,LHLL,にもつ,,,luggage / baggage,object,,N4,
n106,頭,,atama,LHLL,あたま,,,head,body,,N5,
n107,目,,me,H,め,,,eye,body,,N5,
n108,耳,,mimi,LHL,みみ,,,ear,body,,N5,
n109,口,,kuchi,LH,くち,,,mouth,body,,N5,
n110,鼻,,hana,LH,はな,,,nose,body,,N5,
n111,手,,te,H,て,,,hand,body,,N5,
n112,足,,ashi,LHL,あし,,,foot / leg,body,,N5,
n113,背中,,senaka,LHLL,せなか,,,back (body),body,,N4,
n114,心,,kokoro,LHLL,こころ,,,heart / mind / spirit,emotion,,N4,
n115,体,,karada,LHLL,からだ,,,body,body,,N5,
n116,仕事,,shigoto,LHLL,しごと,,,work / job,society,,N5,
n117,会議,,kaigi,LHLL,かいぎ,,,meeting,society,,N4,
n118,授業,,jugyou,LHHL,じゅぎょう,,,class / lesson,study,,N5,
n119,試験,,shiken,LHLL,しけん,,,exam / test,study,,N4,
n120,宿題,,shukudai,LHHLL,しゅくだい,,,homework,study,,N5,
n121,問題,,mondai,LHHL,もんだい,,,problem / question,study,,N4,
n122,答え,,kotae,LHLL,こたえ,,,answer,study,,N4,
n123,映画,,eiga,LHLL,えいが,,,movie / film,entertainment,,N5,
n124,音楽,,ongaku,LHLL,おんがく,,,music,entertainment,,N5,
n125,スポーツ,,supootsu,LHHL,スポーツ,,,sports,entertainment,,N5,
n126,旅行,,ryokou,LHHL,りょこう,,,travel / trip,entertainment,,N5,
n127,趣味,,shumi,LHL,しゅみ,,,hobby / interest,entertainment,,N4,
n128,休み,,yasumi,LHLL,やすみ,,,rest / holiday / break,time,,N5,
n129,週末,,shuumatsu,LHHLL,しゅうまつ,,,weekend,time,,N4,
n130,誕生日,,tanjoubi,LHHHL,たんじょうび,,,birthday,time,,N5,
n131,国,,kuni,LH,くに,,,country / nation,place,,N5,
n132,町,,machi,LH,まち,,,town / city,place,,N5,
n133,村,,mura,LH,むら,,,village,place,,N5,
n134,場所,,basho,LHL,ばしょ,,,place / location,place,,N4,
n135,住所,,juusho,LHLL,じゅうしょ,,,address,place,,N4,
n136,世界,,sekai,LHLL,せかい,,,world,society,,N4,
n137,社会,,shakai,LHLL,しゃかい,,,society,society,,N3,
n138,経済,,keizai,LHLL,けいざい,,,economy,society,,N3,
n139,文化,,bunka,LHLL,ぶんか,,,culture,society,,N3,
n140,歴史,,rekishi,LHLL,れきし,,,history,study,,N3,
n141,科学,,kagaku,LHLL,かがく,,,science,study,,N3,
n142,技術,,gijutsu,LHLL,ぎじゅつ,,,technology / skill,society,,N3,
n143,政治,,seiji,LHLL,せいじ,,,politics,society,,N3,
n144,病気,,byouki,LHLL,びょうき,,,illness / sickness,health,,N4,
n145,薬,,kusuri,LHLL,くすり,,,medicine / drug,health,,N4,
n146,医者,,isha,LHL,いしゃ,,,doctor,people,,N4,
n147,看護師,,kangoshi,LHHLL,かんごし,,,nurse,people,,N3,
n148,値段,,nedan,LHLL,ねだん,,,price,object,,N4,
n149,理由,,riyuu,LHLL,りゆう,,,reason,society,,N3,
n150,意味,,imi,LHL,いみ,,,meaning,study,,N4,
n151,電話,,denwa,LHL,でんわ,,,telephone,object,,N5,
n152,会社,,kaisha,LHL,かいしゃ,,,company,place,,N4,
n153,仕事,,shigoto,LHHLL,しごと,,,work / job,society,,N4,
n154,友達,,tomodachi,LHHLL,ともだち,,,friend,people,,N5,
n155,家族,,kazoku,LHH,かぞく,,,family,people,,N5,
n156,学校,,gakkou,LHH,がっこう,,,school,place,,N5,
n157,先生,,sensei,LHH,せんせい,,,teacher,people,,N5,
n158,学生,,gakusei,LHHLL,がくせい,,,student,people,,N5,
n159,病院,,byouin,LHHL,びょういん,,,hospital,place,,N4,
n160,薬,,kusuri,LHL,くすり,,,medicine,health,,N4,
n161,電車,,densha,LHL,でんしゃ,,,train,transport,,N5,
n162,自転車,,jitensha,LLHLL,じてんしゃ,,,bicycle,transport,,N5,
n163,映画,,eiga,LHH,えいが,,,movie / film,entertainment,,N4,
n164,音楽,,ongaku,LHH,おんがく,,,music,entertainment,,N4,
n165,新聞,,shinbun,LHH,しんぶん,,,newspaper,object,,N4,
n166,手紙,,tegami,LHL,てがみ,,,letter (written),object,,N5,
n167,試験,,shiken,LHH,しけん,,,exam / test,study,,N4,
n168,問題,,mondai,LHH,もんだい,,,problem / question,study,,N4,
n169,答え,,kotae,LHH,こたえ,,,answer,study,,N5,
n170,質問,,shitsumon,LHLL,しつもん,,,question,study,,N4,
n171,授業,,jugyou,LHH,じゅぎょう,,,class / lesson,study,,N4,
n172,宿題,,shukudai,LHHLL,しゅくだい,,,homework,study,,N4,
n173,子供,,kodomo,LHH,こども,,,child,people,,N5,
n174,大人,,otona,LHLL,おとな,,,adult,people,,N4,
n175,男性,,dansei,LHH,だんせい,,,male / man,people,,N4,
n176,女性,,josei,LHH,じょせい,,,female / woman,people,,N4,
n177,旅行,,ryokou,LHLL,りょこう,,,trip / travel,society,,N4,
n178,写真,,shashin,LHH,しゃしん,,,photograph,object,,N4,
n179,図書館,,toshokan,LHHL,としょかん,,,library,place,,N4,
n180,公園,,kouen,LHH,こうえん,,,park,place,,N5,
n181,空港,,kuukou,LHH,くうこう,,,airport,place,,N4,
n182,駅前,,ekimae,LHLL,えきまえ,,,in front of the station,place,,N4,
n183,会議,,kaigi,LHH,かいぎ,,,meeting,society,,N4,
n184,電話番号,,denwabangou,LHLLHH,でんわばんごう,,,phone number,object,,N4,
n185,住所,,juusho,LHLL,じゅうしょ,,,address,object,,N4,
n186,名前,,namae,LHH,なまえ,,,name,object,,N5,
n187,誕生日,,tanjoubi,LHHHLL,たんじょうび,,,birthday,time,,N5,
n188,気持ち,,kimochi,LHL,きもち,,,feeling / mood,emotion,,N3,
n189,経験,,keiken,LHH,けいけん,,,experience,society,,N3,
n190,機会,,kikai,LHH,きかい,,,opportunity / chance,society,,N3,
n191,方法,,houhou,LHH,ほうほう,,,method / way,society,,N3,
n192,意見,,iken,LHH,いけん,,,opinion,society,,N3,
n193,社会,,shakai,LHH,しゃかい,,,society,society,,N3,
n194,文化,,bunka,LHH,ぶんか,,,culture,society,,N3,
n195,自然,,shizen,LHH,しぜん,,,nature,nature,,N3,
n196,生活,,seikatsu,LHLL,せいかつ,,,daily life / living,society,,N3,
n197,習慣,,shuukan,LHH,しゅうかん,,,habit / custom,society,,N3,
n198,影響,,eikyou,LHH,えいきょう,,,influence / effect,society,,N3,
n199,変化,,henka,LHH,へんか,,,change,society,,N3,
n200,目的,,mokuteki,LHLL,もくてき,,,purpose / goal,society,,N3,
n201,場合,,baai,LHH,ばあい,,,case / occasion,society,,N3,
n202,関係,,kankei,LHH,かんけい,,,relationship,society,,N3,
n203,可能性,,kanousei,LHHLL,かのうせい,,,possibility,society,,N3,
n204,注意,,chuui,LHH,ちゅうい,,,attention / caution,society,,N3,
n205,連絡,,renraku,LHLL,れんらく,,,contact / communication,society,,N3,
n206,予定,,yotei,LHH,よてい,,,schedule / plan,time,,N4,
n207,予約,,yoyaku,LHLL,よやく,,,reservation,society,,N4,
n208,説明,,setsumei,LHHLL,せつめい,,,explanation,study,,N3,
n209,紹介,,shoukai,LHH,しょうかい,,,introduction,society,,N4,
n210,準備,,junbi,LHH,じゅんび,,,preparation,society,,N4,
n211,集合,,shuugou,LHH,しゅうごう,,,gathering / meeting point,society,,N4,
n212,出発,,shuppatsu,LHLL,しゅっぱつ,,,departure,transport,,N4,
n213,到着,,touchaku,LHLL,とうちゃく,,,arrival,transport,,N4,
n214,状況,,joukyou,LHH,じょうきょう,,,situation / circumstances,society,,N2,
n215,環境,,kankyou,LHH,かんきょう,,,environment,nature,,N2,
n216,効果,,kouka,LHH,こうか,,,effect / result,society,,N2,
n217,課題,,kadai,LHH,かだい,,,issue / challenge / task,study,,N2,
n218,対策,,taisaku,LHH,たいさく,,,countermeasure,society,,N2,
n219,議論,,giron,LHH,ぎろん,,,discussion / debate,society,,N2,
n220,批判,,hihan,LHH,ひはん,,,criticism,society,,N2,
n221,主張,,shuchou,LHH,しゅちょう,,,claim / argument,society,,N2,
n222,政策,,seisaku,LHH,せいさく,,,policy,society,,N2,
n223,経済,,keizai,LHH,けいざい,,,economy,society,,N2,
n224,技術,,gijutsu,LHLL,ぎじゅつ,,,technology / skill,study,,N2,
n225,研究,,kenkyuu,LHH,けんきゅう,,,research / study,study,,N2,
n226,制度,,seido,LHH,せいど,,,system / institution,society,,N2,
n227,原因,,genin,LHH,げんいん,,,cause / reason,society,,N3,
n228,結果,,kekka,LHH,けっか,,,result / outcome,society,,N3,
n229,過程,,katei,LHH,かてい,,,process,society,,N3,
n230,立場,,tachiba,LHL,たちば,,,standpoint / position,society,,N3,
n231,努力,,doryoku,LHLL,どりょく,,,effort,society,,N3,
n232,成功,,seikou,LHH,せいこう,,,success,society,,N3,
n233,失敗,,shippai,LHH,しっぱい,,,failure,society,,N3,
n234,責任,,sekinin,LHLL,せきにん,,,responsibility,society,,N3,
n235,義務,,gimu,LHL,ぎむ,,,duty / obligation,society,,N3,
n236,権利,,kenri,LHL,けんり,,,right (legal),society,,N2,
n237,自由,,jiyuu,LHH,じゆう,,,freedom / liberty,society,,N3,
n238,平和,,heiwa,LHH,へいわ,,,peace,society,,N3,
n239,安全,,anzen,LHH,あんぜん,,,safety,society,,N4,
n240,危険,,kiken,LHH,きけん,,,danger / risk,society,,N4,
n241,慣習,,kanshuu,LHH,かんしゅう,,,custom / convention,society,,N1,
n242,概念,,gainen,LHL,がいねん,,,concept / notion,abstract,,N1,
n243,矛盾,,mujun,LHL,むじゅん,,,contradiction,abstract,,N1,
n244,偏見,,henken,LHL,へんけん,,,prejudice / bias,society,,N1,
n245,緊張,,kinchou,LHH,きんちょう,,,tension / nervousness,emotion,,N1,
n246,功績,,kousei,LHL,こうせき,,,achievement / merit,abstract,,N1,
n247,倫理,,rinri,LHL,りんり,,,ethics / morality,abstract,,N1,
n248,抽象,,chuushou,LHH,ちゅうしょう,,,abstraction,abstract,,N1,
n249,象徴,,shouchou,LHH,しょうちょう,,,symbol,abstract,,N1,
n250,余裕,,yoyuu,LHH,よゆう,,,leeway / margin / composure,abstract,,N1,
n251,主権,,shuken,LHL,しゅけん,,,sovereignty,society,,N1,
n252,覇権,,haken,LHL,はけん,,,hegemony / supremacy,society,,N1,
n253,秩序,,chitsujo,LHL,ちつじょ,,,order / discipline,society,,N1,
n254,威厳,,igen,LHL,いげん,,,dignity / authority,abstract,,N1,
n255,執念,,shuunen,LHH,しゅうねん,,,obsession / tenacity,emotion,,N1,
n256,哀愁,,aishuu,LHH,あいしゅう,,,pathos / melancholy,emotion,,N1,
n257,葛藤,,kattou,LHL,かっとう,,,conflict / inner struggle,emotion,,N1,
n258,余韻,,yoin,LHL,よいん,,,lingering memory / aftertaste,abstract,,N1,
n259,潮流,,chouryu,LHL,ちょうりゅう,,,trend / current of the times,nature,,N1,
n260,源泉,,gensen,LHL,げんせん,,,source / origin,nature,,N1,
