id,lesson_number,title,content,example_one,example_two,supporting_content,jlpt_level,category,related_grammar_references,related_kanji_references,related_vocab_references,difficulty_order,unlocks_content,origin
g011,11,"この・その・あの・どの — Pointer Words with a Noun","Unlike these/that/those standalone forms, この/その/あの/どの must be followed directly by a noun to specify which one. この refers to a noun near the speaker. その refers to a noun near the listener. あの refers to a noun far from both. どの asks 'which ~?' and is used in questions.","この本は面白いです。(このほんはおもしろいです。) — This book is interesting.","どの電車に乗りますか。(どのでんしゃにのりますか。) — Which train do you take?","この/その/あの/どの cannot stand alone — they always need a noun after them. Use これ/それ/あれ/どれ when you are not following with a noun.",N5,pointer-words,,,,11,g012,user-created
g012,12,"ここ・そこ・あそこ・どこ — Here / There / Over There / Where","These pointer words describe location rather than objects. ここ means 'here', near the speaker. そこ means 'there', near the listener. あそこ means 'over there', far from both. どこ means 'where?' and is used in questions. Unlike object pointer words, these typically appear with です or ですか at the end of a sentence.","トイレはどこですか。(トイレはどこですか。) — Where is the restroom?","駅はあそこです。(えきはあそこです。) — The station is over there.","ここ can also indicate your current place of residence or work in context: ここに五年住んでいます。— I have lived here for five years.",N5,pointer-words,,,,12,g013,user-created
g013,13,"だれ・だれの — Who and Whose","だれ means 'who' and is used without a following noun in question sentences. だれの means 'whose' and must be followed by a noun to ask about possession.","あの人はだれですか。(あのひとはだれですか。) — Who is that person?","これはだれの本ですか。(これはだれのほんですか。) — Whose book is this?","In formal or written Japanese, どなた is a more polite equivalent of だれ: どなたですか。— Who are you? (politely). Use どなた with customers, superiors, or strangers.",N5,question-words,,,,13,g014,user-created
g014,14,"なに・なん — What (Question Word)","なに and なん both mean 'what', but the form used depends on what follows. Use なん before です, a counter word, or の. Use なに before a particle such as を, が, or か, or at the end of a sentence.","これは何ですか。(これはなんですか。) — What is this?","何を食べますか。(なにをたべますか。) — What will you eat?","なんさいですか uses なん before the counter さい (How old are you?). なにがすきですか uses なに before the particle が (What do you like?). The rule is simple: counter or です → なん; particle → なに.",N5,question-words,,,,14,g015,ai-created
g015,15,"います・あります — Stating Existence for Animate and Inanimate Objects","To state that something exists, use が (not は) for the subject and に (not で) for the location. Place the location first, as is common practice. あります is for non-living things. います is for living things such as people and animals. These verbs also express ownership or that an event will take place.","机の上に本があります。(つくえのうえにほんがあります。) — There is a book on top of the desk.","公園に子供がいます。(こうえんにこどもがいます。) — There are children in the park.","To express ownership: 車があります。(くるまがあります。) — I have a car. To express an upcoming event: パーティーがあります。— There will be a party.",N5,existence,,,,15,g016,user-created
g016,16,"Describing Where Things Are","Japanese has a set of location words used with の and a reference noun to describe where something is. These words follow the reference noun and precede に or で. The main location words are: みぎ (right), ひだり (left), まえ (in front), うしろ (behind), なか (inside), うえ (above/on top), した (below/under), ちかく or そば (near/beside), となり (next to, adjacent).","本は机の上にあります。(ほんはつくえのうえにあります。) — The book is on top of the desk.","猫はソファーの下にいます。(ねこはそふぁーのしたにいます。) — The cat is under the sofa.","Combine these with います/あります from Lesson 15: [object]は [reference noun]の[location]に[います/あります]。The location word always follows の and the reference noun.",N5,location,,,,16,g017,user-created
g017,17,"Pronunciation — Pitch Accent","Japanese uses pitch accent rather than stress accent. Each mora (unit of sound) is either high or low in pitch. There are four patterns: Flat (Heiban) — starts low, rises after the first mora, and stays high; Head-high (Atamadaka) — starts high and drops after the first mora; Middle-high (Nakadaka) — rises and then drops somewhere in the middle; Tail-high (Odaka) — rises across the word and drops on the following particle.","橋 (はし) head-high = chopsticks; 橋 (はし) flat = bridge. The spelling is identical but pitch changes the meaning.","雨 (あめ) head-high = rain; 飴 (あめ) flat = candy. Pitch accent distinguishes these homophones.","Pitch accent varies by dialect. Tokyo (standard) pitch is what is typically taught. Learners may not be penalised for wrong pitch, but training your ear early helps with listening comprehension and natural speech.",N5,pronunciation,,,,17,g018,user-created
g018,18,"Requesting Things from People","To politely ask for a physical item, follow the object with をください after the object being requested. An alternative is をおねがいします, also placed after the object, which carries a slightly more pleading tone. をおねがいします can also be used to request abstract things such as services, explanations, or understanding.","水をください。(みずをください。) — Please give me water.","説明をおねがいします。(せつめいをおねがいします。) — Please give me an explanation.","おねがいします can stand alone as a general 'please' when making a request without specifying the object. It is one of the most universally useful polite expressions in Japanese.",N5,expressions,,,,18,g019,user-created
g019,19,"To Offer an Object to Another Person","To politely offer an object to someone, follow the object with をどうぞ. どうぞ alone also works as a welcoming gesture meaning 'please, go ahead' or 'here you are'. It requires no verb and is used in a wide range of offering and welcoming situations.","コーヒーをどうぞ。(こーひーをどうぞ。) — Please have some coffee.","どうぞ、お座りください。(どうぞ、おすわりください。) — Please, go ahead and sit down.","どうぞ by itself is used when handing something over, holding a door, or ushering someone into a room. It is one of the most natural single-word expressions in everyday Japanese.",N5,expressions,,,,19,g020,user-created
g020,20,"Verb Conjugation — Ru-Verbs","Ru-verbs (also called ichidan or Group 2 verbs) always end in る in dictionary form and their stem never changes. To conjugate politely, drop る and add the appropriate ending. Present affirmative polite: stem + ます. Present negative polite: stem + ません.","食べる → 食べます (たべます) — eat (polite affirmative) / 食べません (たべません) — do not eat.","見る → 見ます (みます) — see (polite affirmative) / 見ません (みません) — do not see.","Most ru-verbs end in える or いる sounds. However some u-verbs also end in る such as 帰る (かえる) and 走る (はしる) — these must be memorised as exceptions.",N5,verb-conjugation,,,,20,g021,user-title-ai-content
g021,21,"Verb Conjugation — U-Verbs","U-verbs (godan or Group 1 verbs) end in a variety of う-row sounds: う, く, ぐ, す, つ, ぬ, ぶ, む, or る. To make the polite form, change the final sound to its い-row equivalent and add ます or ません.","書く → 書きます (かきます) — write (affirmative) / 書きません (かきません) — do not write.","飲む → 飲みます (のみます) — drink (affirmative) / 飲みません (のみません) — do not drink.","Conjugation changes: く→き, ぐ→ぎ, す→し, つ→ち, ぬ→に, ぶ→び, む→み, う→い, る(u-verb)→り. The key skill is identifying whether a る-ending verb is a ru-verb or u-verb.",N5,verb-conjugation,,,,21,g022,user-title-ai-content
g022,22,"Verb Conjugation — Irregular Verbs","Japanese has only two truly irregular verbs: する (to do) and くる (to come). These do not follow ru-verb or u-verb patterns and must be memorised. Present affirmative polite: します, きます. Present negative polite: しません, きません.","毎日勉強します。(まいにちべんきょうします。) — I study every day.","友達が来ます。(ともだちがきます。) — My friend is coming.","Many compound verbs are formed with する attached to a noun: 運動する (to exercise), 料理する (to cook), 説明する (to explain). All conjugate exactly like する.",N5,verb-conjugation,,,,22,g023,user-title-ai-content
g023,23,"Action Verbs Explained","Japanese verbs express both habitual actions (things you regularly do) and future actions (things you will do) using the same present-tense polite form ます. Context and time words distinguish the two meanings. Japanese has no separate future tense — the same form covers present habits and future plans.","毎朝コーヒーを飲みます。(まいあさこーひーをのみます。) — I drink coffee every morning. (habitual)","明日友達に会います。(あしたともだちにあいます。) — I will meet my friend tomorrow. (future)","Time words like 毎日 (every day), 明日 (tomorrow), and 来週 (next week) signal whether an action is habitual or future. Without time words, context from the conversation clarifies the meaning.",N5,verb-conjugation,,,,23,g024,user-title-ai-content
g024,24,"を — The Object Particle","を marks the direct object of an action verb — the thing that receives the action. It always follows a noun and precedes the verb. を is pronounced 'o' in modern Japanese.","本を読みます。(ほんをよみます。) — I read a book.","音楽を聞きます。(おんがくをききます。) — I listen to music.","を also marks a space that movement passes through with verbs of motion: 公園を歩きます (こうえんをあるきます) — I walk through the park. The core meaning is always the thing affected by or traversed by the action.",N5,particles,,,,24,g025,user-title-ai-content
g025,25,"で — The Particle for Place of Action","で indicates the location where an action takes place — it answers 'where does this happen?' Note the key distinction: で marks where an action is performed, while に marks where something exists or the destination of movement.","図書館で勉強します。(としょかんでべんきょうします。) — I study at the library.","レストランでご飯を食べます。(れすとらんでごはんをたべます。) — I eat a meal at a restaurant.","Quick rule: で = action location (doing something at a place). に = existence location (something is there) or destination (going to a place). Both are extremely common so learning them as a pair is helpful.",N5,particles,,,,25,g026,user-title-ai-content
g026,26,"に — The Particle for Goal of Movement","に indicates the destination or goal of movement — where you are going to or arriving at. It follows the destination noun and precedes a movement verb such as いく (go), くる (come), or かえる (return).","学校に行きます。(がっこうにいきます。) — I go to school.","家に帰ります。(うちにかえります。) — I return home.","Compare に and で: 学校に行きます (going to school) vs 学校で勉強します (studying at school). に marks the endpoint; で marks where you perform the action once you arrive.",N5,particles,,,,26,g027,user-title-ai-content
g027,27,"に — The Particle for Time","に marks a specific point in time at which an action occurs. It is used with clock times, days of the week, dates, months, and years. Critically, it is not used with relative time expressions like 今日 (today), 明日 (tomorrow), 毎日 (every day), or 今 (now).","七時に起きます。(しちじにおきます。) — I wake up at 7 o'clock.","月曜日に会議があります。(げつようびにかいぎがあります。) — There is a meeting on Monday.","No に with: 今日、明日、毎朝、今. Use に with: specific clock times (三時に), days of the week (火曜日に), months (五月に), and years (二〇二四年に).",N5,particles,,,,27,g028,user-title-ai-content
g028,28,"へ — Goal of Movement (More Literary)","へ (pronounced 'e') also marks direction or destination of movement, similar to に. However, へ emphasises the direction of travel rather than the specific endpoint, and is more common in formal or written Japanese. In everyday spoken Japanese, に is used more frequently.","東京へ行きます。(とうきょうへいきます。) — I go to Tokyo.","日本へようこそ。(にほんへようこそ。) — Welcome to Japan.","へ and に are often interchangeable with movement verbs, but only に can mark time or existence location. When in doubt, use に in conversation and reserve へ for formal or written contexts.",N5,particles,,,,28,g029,user-title-ai-content
g029,29,"Extending an Invitation Using ~ませんか","ませんか is added to the polite verb stem to extend an invitation or suggestion — 'Would you like to ~?' or 'Won't you ~?'. This is the negative question form, and in Japanese the polite way to invite is phrased negatively, giving the listener an easy way to decline without confrontation.","一緒に映画を見ませんか。(いっしょにえいがをみませんか。) — Would you like to watch a movie together?","昼ご飯を食べませんか。(ひるごはんをたべませんか。) — Would you like to have lunch?","ませんか is directed at the listener as an invitation. ましょうか (Lesson 45) is a softer proposal — 'Shall we ~?' — and can also offer your own help to someone.",N5,expressions,,,,29,g030,user-title-ai-content
g030,30,"Describing Frequency Using Frequency Adverbs","Japanese uses adverbs placed before the verb to describe how often an action occurs. Key frequency adverbs: いつも (always), よく (often), 時々 (sometimes), あまり (not very often — requires a negative verb), ぜんぜん (not at all — requires a negative verb).","私は時々映画を見ます。(わたしはときどきえいがをみます。) — I sometimes watch movies.","あまりお酒を飲みません。(あまりおさけをのみません。) — I don't drink alcohol very often.","あまり and ぜんぜん must always pair with a negative verb form. Using them with a positive verb is a grammar error: wrong — あまり食べます; correct — あまり食べません.",N5,adverbs,,,,30,g031,user-title-ai-content
g031,31,"Flexibility of Japanese Sentences and Common Conventions","Japanese word order is flexible because particles mark each word's grammatical role. The verb almost always comes at the end, but nouns and their particles can be rearranged for emphasis. Subjects and topics are frequently omitted when clear from context. Time expressions typically appear near the beginning.","明日、私は図書館で本を読みます。— Tomorrow I will read a book at the library. (standard order)","本を明日図書館で読みます。— The book — I will read it tomorrow at the library. (rearranged for emphasis)","The verb-final rule is strict. You can move almost anything else around within a clause, but the verb or copula always stays last. This is one of the most important structural rules in Japanese.",N5,sentence-structure,,,,31,g032,user-title-ai-content
g032,32,"は — Further Explained","は has a second important function beyond marking a topic: contrast. When は appears where が or を might be expected, it signals a contrast with something else, either stated or implied. は can single out one element of a sentence to contrast against an unstated alternative.","魚は食べます。(さかなはたべます。) — Fish, I will eat. (implying I will not eat something else such as meat)","東京には行きます。大阪には行きません。(とうきょうにはいきます。おおさかにはいきません。) — I will go to Tokyo. I will not go to Osaka.","Particles like に, で, and を can combine with は to create a contrasting emphasis: にはいきます vs にはいきません. This contrastive は is one of the subtler features of Japanese and rewards careful attention.",N5,particles,,,,32,g033,user-title-ai-content
g033,33,"Past Tense of です — Affirmative and Negative","To express a past state of being, replace です with でした for the affirmative. For the negative past there are several options: じゃなかったです is casual spoken, じゃありませんでした is conservative spoken, and ではありませんでした is formal written.","昨日は雨でした。(きのうはあめでした。) — Yesterday it was rain.","彼は学生じゃありませんでした。(かれはがくせいじゃありませんでした。) — He was not a student.","Summary: Affirmative past → でした. Casual negative past → じゃなかったです. Conservative negative past → じゃありませんでした. Formal negative past → ではありませんでした.",N5,sentence-structure,,,,33,g034,user-created
g034,34,"Past Tense of Verbs — Affirmative and Negative","To form the polite past tense of any verb, replace ます with ました for the affirmative, or ませんでした for the negative. This applies to ru-verbs, u-verbs, and irregular verbs alike — once they are in polite form, the ending change is the same for all.","昨日映画を見ました。(きのうえいがをみました。) — I watched a movie yesterday.","先週勉強しませんでした。(せんしゅうべんきょうしませんでした。) — I did not study last week.","Pattern: verb stem + ました (past affirmative) / ませんでした (past negative). Only the ending changes — the verb stem stays the same as in the present form.",N5,verb-conjugation,,,,34,g035,user-title-ai-content
g035,35,"も — Alternate Uses","Beyond expressing similarity, も appears in quantity expressions and negative statements. Combined with a number and a negative verb, も means 'not even one'. Combined with question words and a negative verb, も creates 'nothing', 'nobody', or 'nowhere'.","お金が一円もありません。(おかねがいちえんもありません。) — I don't have even one yen.","誰も来ませんでした。(だれもきませんでした。) — Nobody came.","Full set: 何も (nothing) + negative, 誰も (nobody) + negative, どこも (nowhere) + negative. These are very natural in everyday Japanese conversation.",N5,particles,,,,35,g036,user-title-ai-content
g036,36,"Duration of Activity — じかん","To express how long an action continues, state the time duration before the verb without adding に. The duration expression answers 'for how long?' rather than 'at what time?'. Common time duration units: 時間 (hours), 分 (minutes), 週間 (weeks), ヶ月 (months), 年 (years).","三時間勉強しました。(さんじかんべんきょうしました。) — I studied for three hours.","一時間待ちました。(いちじかんまちました。) — I waited for one hour.","Duration takes no particle, or optionally を: 三時間(を)勉強する. Do not add に (which marks a specific point in time, not a duration).",N5,expressions,,,,36,g037,user-title-ai-content
g037,37,"Expressions of Quantity — たくさん","たくさん means 'a lot', 'many', or 'much' and can modify a verb directly or precede の plus a noun. Other quantity expressions: 少し (sukoshi — a little), あまり (not much — with negative verb), ぜんぜん (not at all — with negative verb).","たくさん食べました。(たくさんたべました。) — I ate a lot.","たくさんの人が来ました。(たくさんのひとがきました。) — Many people came.","たくさん can precede の plus a noun (たくさんの本 — many books) or follow the object particle を (本をたくさん読む — read many books). Both patterns are correct and common.",N5,expressions,,,,37,g038,user-title-ai-content
g038,38,"と — The Companion Particle","と has two main uses: listing nouns exhaustively ('A and B') and marking a companion for an action ('together with someone'). As a companion particle, と follows a person's name or pronoun and precedes the verb. と lists all named items completely, unlike や which only gives examples.","パンと卵を買いました。(ぱんとたまごをかいました。) — I bought bread and eggs.","友達と映画を見ました。(ともだちとえいがをみました。) — I watched a movie with my friend.","と lists everything exhaustively (A and B, that is all). や (Lesson 102) gives examples from a larger group (A and B, among other things). Use と when the list is complete; use や when it is not.",N5,particles,,,,38,g039,user-title-ai-content
g039,39,"い-Adjectives in the Present Tense","い-adjectives end in い in their dictionary form and conjugate by modifying that ending. Polite affirmative: adjective + です (the い stays). Polite negative: drop い and add くないです or くありません. The base い is retained in the affirmative and changed only in the negative.","この映画は面白いです。(このえいがはおもしろいです。) — This movie is interesting.","この部屋は広くないです。(このへやはひろくないです。) — This room is not spacious.","Important exception: いい (good) is irregular. Its negative is よくないです. Its polite form is いいです, but all other conjugations use よ as the base: よくない, よかった, よかったら.",N5,adjectives,,,,39,g040,user-title-ai-content
g040,40,"な-Adjectives in the Present Tense","な-adjectives are grammatically similar to nouns. In predicate position (after は), they are followed by です for the affirmative or じゃないです / じゃありません for the negative. When modifying a noun directly, add な between the adjective and the noun.","東京は賑やかです。(とうきょうはにぎやかです。) — Tokyo is lively.","ここは静かじゃないです。(ここはしずかじゃないです。) — This place is not quiet.","Common な-adjectives: きれい (pretty/clean), 便利 (convenient), 有名 (famous), 元気 (energetic/well), 好き (liked), 嫌い (disliked), 大切 (important). The な they add before nouns is what gives this adjective class its name.",N5,adjectives,,,,40,g041,user-title-ai-content
g041,41,"い-Adjectives in the Past Tense","To make an い-adjective past tense, drop the final い and add かったです for the affirmative, or くなかったです / くありませんでした for the negative.","昨日は寒かったです。(きのうはさむかったです。) — It was cold yesterday.","その映画は面白くなかったです。(そのえいがはおもしろくなかったです。) — That movie was not interesting.","Key exception: いい → past affirmative is よかったです (not いかったです). This is the most commonly used irregular い-adjective form. Forgetting it is one of the most common learner mistakes.",N5,adjectives,,,,41,g042,user-title-ai-content
g042,42,"な-Adjectives in the Past Tense","な-adjectives form the past tense in the same way nouns do with です. Past affirmative: adjective + でした. Past negative: adjective + じゃなかったです or じゃありませんでした.","子供の頃、東京は静かでした。(こどものころ、とうきょうはしずかでした。) — When I was a child, Tokyo was quiet.","その仕事は大変じゃなかったです。(そのしごとはたいへんじゃなかったです。) — That job was not difficult.","な-adjective past forms are identical in structure to noun past forms. Both use でした (past affirmative) and じゃなかったです / じゃありませんでした (past negative).",N5,adjectives,,,,42,g043,user-title-ai-content
g043,43,"Modifying Nouns with Adjectives","Adjectives can directly precede a noun to describe it. い-adjectives simply come before the noun with no change. な-adjectives add な between the adjective and the noun.","大きい犬 (おおきいいぬ) — a big dog / きれいな花 (きれいなはな) — a beautiful flower","新しい車を買いました。(あたらしいくるまをかいました。) — I bought a new car.","Pattern: い-adjective → [adjective]い + noun. な-adjective → [adjective]な + noun. Never add な to an い-adjective or drop い when using it before a noun.",N5,adjectives,,,,43,g044,user-title-ai-content
g044,44,"Like / Dislike / Neutrality — すき・きらい","To express likes and dislikes, use the な-adjective 好き (liked) or 嫌い (disliked) after the thing you like or dislike, which is marked with が. For neutrality, use すきでもきらいでもない. Note that these adjectives use が — not を — for the thing liked or disliked.","私は猫が好きです。(わたしはねこがすきです。) — I like cats.","辛い食べ物が嫌いです。(からいたべものがきらいです。) — I dislike spicy food.","大好き (daisuki — really love) and 大嫌い (daikirai — really hate) are more emphatic versions. Use them with care. The structure は〜が好きです/嫌いです is one of the most essential sentence patterns.",N5,expressions,,,,44,g045,user-created
g045,45,"Suggesting a Plan of Action — ましょう・ましょうか","ましょう is added to the polite verb stem to suggest doing something together — 'Let's ~'. ましょうか softens it into a collaborative question — 'Shall we ~?'. Both are warm and inclusive in tone, making them ideal for group suggestions.","一緒に行きましょう！(いっしょにいきましょう！) — Let's go together!","そろそろ出発しましょうか。(そろそろしゅっぱつしましょうか。) — Shall we get going about now?","ましょうか can also offer your own assistance: 荷物を持ちましょうか。— Shall I carry your bags? In this case it is a one-sided offer, not a joint activity. Compare with ませんか (Lesson 29) which invites the listener.",N5,expressions,,,,45,g046,user-created
g046,46,"Counting Items in Japanese — Counter Words","Japanese attaches counter words to numbers to count specific types of items. The counter changes depending on what is being counted. Common counters: 個 (small objects), 枚 (flat objects), 本 (long cylindrical objects), 冊 (bound books), 匹 (small animals), 台 (machines/vehicles), 杯 (cups or bowls of liquid).","リンゴを三個ください。(りんごをさんこください。) — Please give me three apples.","本を二冊買いました。(ほんをにさつかいました。) — I bought two books.","Numbers often change pronunciation when combined with counters: 一本 (ippon), 二本 (nihon), 三本 (sanbon). The reading shifts based on the counter. Learning the most common counters with their number sound changes is essential.",N5,counters,,,,46,g047,user-title-ai-content
g047,47,"Te Form — Ru-Verbs","The te form is a versatile verb form used for connecting actions, making requests, expressing ongoing states, and more. For ru-verbs: drop る and add て. Since the stem of a ru-verb never changes, this is entirely predictable.","食べる → 食べて (たべて) — eat (te form)","起きる → 起きて (おきて) — wake up (te form)","Te form pattern for ru-verbs: [stem] + て. Examples: 見る→見て, 着る→着て, 出る→出て, 借りる→借りて. All ru-verb te forms are formed the same way.",N4,te-form,,,,47,g048,user-title-ai-content
g048,48,"Te Form — U-Verbs (う・つ・る)","U-verbs ending in う, つ, or る (u-verb type) form the te form by dropping the final sound and adding って.","買う → 買って (かって) — buy (te form)","待つ → 待って (まって) — wait (te form)","Pattern: う→って, つ→って, る(u-verb)→って. Ex: 帰る(u-verb) → 帰って (かえって). Be careful not to confuse these with る ru-verbs, which take て instead of って.",N4,te-form,,,,48,g049,user-title-ai-content
g049,49,"Te Form — U-Verbs (む・ぶ・ぬ)","U-verbs ending in む, ぶ, or ぬ form the te form by dropping the last sound and adding んで.","飲む → 飲んで (のんで) — drink (te form)","遊ぶ → 遊んで (あそんで) — play (te form)","Pattern: む→んで, ぶ→んで, ぬ→んで. The only common ぬ-ending verb is 死ぬ (しぬ, to die) → 死んで. The んで ending also sounds similar to the number 2 pattern, which learners sometimes notice as a memory aid.",N4,te-form,,,,49,g050,user-title-ai-content
g050,50,"Te Form — U-Verbs (く・ぐ・す)","U-verbs ending in く form the te form with いて. Verbs ending in ぐ form with いで. Verbs ending in す form with して.","書く → 書いて (かいて) — write (te form) / 急ぐ → 急いで (いそいで) — hurry (te form)","話す → 話して (はなして) — speak (te form)","Important exception: いく (to go) is irregular — its te form is いって, not いいて. This is one of the few true exceptions among u-verbs and must be memorised.",N4,te-form,,,,50,g051,user-title-ai-content
g051,51,"Te Form — Irregular Verbs","The two irregular verbs have unpredictable te forms that must be memorised. する (to do) → して. くる (to come) → きて.","勉強する → 勉強して (べんきょうして) — study (te form)","ここに来て。(ここにきて。) — Come here.","Since many compound verbs use する (e.g., 料理する, 運動する, 説明する), knowing して automatically applies to all of them. Similarly all compound verbs using くる follow きて.",N4,te-form,,,,51,g052,user-title-ai-content
g052,52,"Polite Requests — ~てください","Te form + ください makes a polite request — 'Please do ~'. It asks someone to perform an action. The tone is polite and direct, more like an instruction or request than a question.",  "ここに座ってください。(ここにすわってください。) — Please sit here.","名前を書いてください。(なまえをかいてください。) — Please write your name.","To soften it further, add おねがいします after. To make it a question, use てもらえますか or てくださいませんか. てください is standard polite; the alternatives are more indirect.",N4,te-form,,,,52,g053,user-title-ai-content
g053,53,"Describing Two Activities Using Te Form","The te form connects two or more verbs in sequence — 'do A, and then do B'. The te form verb describes the first action, and the main verb at the end carries the tense for the whole sentence.","朝起きて、シャワーを浴びます。(あさおきて、しゃわーをあびます。) — I wake up in the morning and take a shower.","図書館に行って、本を借りました。(としょかんにいって、ほんをかりました。) — I went to the library and borrowed a book.","The tense of the whole sentence is carried by the final verb only. Everything before it stays in te form regardless of when it happened. Long chains of te form verbs are common in narrative speech.",N4,te-form,,,,53,g054,user-title-ai-content
g054,54,"Granting Permission Using ~てもいいです","Te form + もいいです grants permission — 'It is okay to do ~' or 'You may ~'. To ask for permission, convert it into a question: てもいいですか.","ここに座ってもいいです。(ここにすわってもいいです。) — You may sit here.","写真を撮ってもいいですか。(しゃしんをとってもいいですか。) — May I take a photo?","The trio of permission structures is: てもいいです (granting), てはいけません (prohibiting), てもいいですか (requesting permission). Learning all three together is very efficient.",N4,te-form,,,,54,g055,user-title-ai-content
