id,phrase,reading,meaning,vocabulary_references,kanji_references,jlpt_level,category,romaji,grammar_references
p036,歩いて何分かかりますか。,あるいてなんぷんかかりますか。,How many minutes on foot?,,,,directions,Aruite nan-fun kakarimasu ka.,
p037,地図を描いてもらえますか。,ちずをかいてもらえますか。,Can you draw me a map?,,,,directions,Chizu wo kaite moraemasu ka.,
p038,今何時ですか。,いまなんじですか。,What time is it now?,,,,time,Ima nanji desu ka.,
p039,何時に始まりますか。,なんじにはじまりますか。,What time does it start?,,,,time,Nanji ni hajimarimasu ka.,
p040,何時に終わりますか。,なんじにおわりますか。,What time does it end?,,,,time,Nanji ni owarimasu ka.,
p041,今日は何曜日ですか。,きょうはなんようびですか。,What day of the week is it today?,,,,time,Kyou wa nan-youbi desu ka.,
p042,何月何日ですか。,なんがつなんにちですか。,What is the date?,,,,time,Nangatsu nannichi desu ka.,
p043,今日の天気はどうですか。,きょうのてんきはどうですか。,How is the weather today?,,,,weather,Kyou no tenki wa dou desu ka.,
p044,雨が降っています。,あめがふっています。,It is raining.,,,,weather,Ame ga futte imasu.,
p045,雪が降りそうです。,ゆきがふりそうです。,It looks like it will snow.,,,,weather,Yuki ga furi-sou desu.,
p046,今日はとても暑いですね。,きょうはとてもあついですね。,It is very hot today isn't it.,,,,weather,Kyou wa totemo atsui desu ne.,
p047,涼しくなりましたね。,すずしくなりましたね。,It has become cool hasn't it.,,,,weather,Suzushiku narimashita ne.,
p048,メニューを見せてください。,メニューをみせてください。,Please show me the menu.,,,,restaurant,Menyuu wo misete kudasai.,
p049,注文してもいいですか。,ちゅうもんしてもいいですか。,May I order?,,,,restaurant,Chuumon shite mo ii desu ka.,
p050,これをひとつください。,これをひとつください。,Please give me one of these.,,,,restaurant,Kore wo hitotsu kudasai.,
p051,おすすめは何ですか。,おすすめはなんですか。,What do you recommend?,,,,restaurant,Osusume wa nan desu ka.,
p052,お会計をお願いします。,おかいけいをおねがいします。,Check please. / Bill please.,,,,restaurant,Okaikei wo onegaishimasu.,
p053,別々に払えますか。,べつべつにはらえますか。,Can we pay separately?,,,,restaurant,Betsubetsu ni haraemasu ka.,
p054,アレルギーがあります。,アレルギーがあります。,I have an allergy.,,,,restaurant,Arerugii ga arimasu.,
p055,おいしかったです。,おいしかったです。,It was delicious.,,,,restaurant,Oishikatta desu.,
p056,お名前は何ですか。,おなまえはなんですか。,What is your name?,,,,self-introduction,Onamae wa nan desu ka.,
p057,私は〜です。,わたしは〜です。,I am ~.,,,,self-introduction,Watashi wa ~ desu.,
p058,〜から来ました。,〜からきました。,I came from ~.,,,,self-introduction,~ kara kimashita.,
p059,日本語を勉強しています。,にほんごをべんきょうしています。,I am studying Japanese.,,,,self-introduction,Nihongo wo benkyou shite imasu.,
p060,よろしくお願いします。,よろしくおねがいします。,Please take care of me. / Nice to meet you.,,,,self-introduction,Yoroshiku onegaishimasu.,
p061,何歳ですか。,なんさいですか。,How old are you?,,,,questions,Nansai desu ka.,
p062,どこに住んでいますか。,どこにすんでいますか。,Where do you live?,,,,questions,Doko ni sunde imasu ka.,
p063,お仕事は何ですか。,おしごとはなんですか。,What is your job?,,,,questions,Oshigoto wa nan desu ka.,
p064,趣味は何ですか。,しゅみはなんですか。,What is your hobby?,,,,questions,Shumi wa nan desu ka.,
p065,電話番号を教えてもらえますか。,でんわばんごうをおしえてもらえますか。,Can you tell me your phone number?,,,,daily,Denwa bangou wo oshiete moraemasu ka.,
p066,トイレはどこですか。,トイレはどこですか。,Where is the restroom?,,,,daily,Toire wa doko desu ka.,
p067,ちょっと待ってください。,ちょっとまってください。,Please wait a moment.,,,,daily,Chotto matte kudasai.,
p068,手伝ってもらえますか。,てつだってもらえますか。,Can you help me?,,,,daily,Tetsudatte moraemasu ka.,
p069,大丈夫ですか。,だいじょうぶですか。,Are you all right?,,,,daily,Daijoubu desu ka.,
p070,気をつけてください。,きをつけてください。,Please be careful.,,,,daily,Ki wo tsukete kudasai.,
p071,おじゃまします。,おじゃまします。,Excuse me for interrupting. (entering someone's home),,,N4,daily,Ojama shimasu.,
p072,いただきます。,いただきます。,I humbly receive (before eating).,,,,daily,Itadakimasu.,
p073,ごちそうさまでした。,ごちそうさまでした。,Thank you for the meal (after eating).,,,,daily,Gochisousama deshita.,
p074,おかえりなさい。,おかえりなさい。,Welcome back.,,,,daily,Okaeri nasai.,
p075,ただいま。,ただいま。,I'm home.,,,,daily,Tadaima.,
p076,行ってきます。,いってきます。,I'm heading out.,,,,daily,Ittekimasu.,
p077,行ってらっしゃい。,いってらっしゃい。,Take care (when someone is heading out).,,,,daily,Itterasshai.,
p078,一緒に来ませんか。,いっしょにきませんか。,Won't you come together?,,,,invitations,Issho ni kimasen ka.,
p079,映画を見に行きませんか。,えいがをみにいきませんか。,Shall we go watch a movie?,,,,invitations,Eiga wo mi ni ikimasen ka.,
p080,いつが都合がいいですか。,いつがつごうがいいですか。,When is convenient for you?,,,,invitations,Itsu ga tsugou ga ii desu ka.,
p081,土曜日はどうですか。,どようびはどうですか。,How about Saturday?,,,,invitations,Doyoubi wa dou desu ka.,
p082,ぜひ行きたいです。,ぜひいきたいです。,I definitely want to go.,,,N4,invitations,Zehi ikitai desu.,
p083,残念ながら行けません。,ざんねんながらいけません。,Unfortunately I cannot go.,,,N3,expressions,Zannen nagara ikemasen.,
p084,お体に気をつけてください。,おからだにきをつけてください。,Please take care of your health.,,,N4,expressions,Okarada ni ki wo tsukete kudasai.,
p085,お大事に。,おだいじに。,Please take care of yourself (said to sick person).,,,,expressions,Odaiji ni.,
p086,頑張ってください。,がんばってください。,Please do your best.,,,,expressions,Ganbatte kudasai.,
p087,頑張ります。,がんばります。,I will do my best.,,,,expressions,Ganbarimasu.,
p088,そうですね。,そうですね。,That's right. / I see.,,,,expressions,Sou desu ne.,
p089,なるほど。,なるほど。,I see. / Indeed.,,,N4,expressions,Naruhodo.,
p090,本当ですか。,ほんとうですか。,Really? / Is that true?,,,,expressions,Hontou desu ka.,
p091,そうですか。,そうですか。,Is that so?,,,N5,expressions,Sou desu ka.,
p092,ちょっと…,ちょっと…,That's a bit... (polite refusal),,,N4,expressions,Chotto...,
p093,もう一杯いかがですか。,もういっぱいいかがですか。,Would you like another cup?,,,,restaurant,Mou ippai ikaga desu ka.,
p094,ここに座ってもいいですか。,ここにすわってもいいですか。,May I sit here?,,,,daily,Koko ni suwatte mo ii desu ka.,
p095,写真を撮ってもいいですか。,しゃしんをとってもいいですか。,May I take a photo?,,,,daily,Shashin wo totte mo ii desu ka.,
p096,〜はありますか。,〜はありますか。,Do you have ~?,,,N5,shopping,~ wa arimasu ka.,
p097,サイズはありますか。,サイズはありますか。,Do you have my size?,,,,shopping,Saizu wa arimasu ka.,
p098,これを見せてください。,これをみせてください。,Please show me this.,,,,shopping,Kore wo misete kudasai.,
p099,特急は止まりますか。,とっきゅうはとまりますか。,Does the express stop here?,,,,transport,Tokkyuu wa tomarimasu ka.,
p100,〜行きのチケットをください。,〜ゆきのチケットをください。,Please give me a ticket to ~.,,,,transport,~ yuki no chiketto wo kudasai.,
p101,おはようございます。,おはようございます。,Good morning (formal),,,N5,greetings,Ohayou gozaimasu.,
p102,こんにちは。,こんにちは。,Good afternoon / Hello,,,N5,greetings,Konnichiwa.,
p103,こんばんは。,こんばんは。,Good evening,,,N5,greetings,Konbanwa.,
p104,おやすみなさい。,おやすみなさい。,Good night,,,N5,greetings,Oyasuminasai.,
p105,ただいま。,ただいま。,I'm home,,,N5,greetings,Tadaima.,
p106,おかえりなさい。,おかえりなさい。,Welcome home,,,N5,greetings,Okaerinasai.,
p107,いってきます。,いってきます。,I'm heading out,,,N5,greetings,Ittekimasu.,
p108,いってらっしゃい。,いってらっしゃい。,Have a good trip / Take care,,,N5,greetings,Itterasshai.,
p109,ありがとうございます。,ありがとうございます。,Thank you very much,,,N5,greetings,Arigatou gozaimasu.,
p110,どういたしまして。,どういたしまして。,You're welcome,,,N5,greetings,Dou itashimashite.,
p111,メニューをください。,メニューをください。,Please give me the menu.,,,N5,restaurant,Menyuu wo kudasai.,
p112,おすすめは何ですか。,おすすめはなんですか。,What do you recommend?,,,N4,restaurant,Osusume wa nan desu ka.,
p113,〜をひとつお願いします。,〜をひとつおねがいします。,One ~ please.,,,N4,restaurant,~ wo hitotsu onegai shimasu.,
p114,お会計をお願いします。,おかいけいをおねがいします。,Check please.,,,N4,restaurant,Okaikei wo onegai shimasu.,
p115,別々に払えますか。,べつべつにはらえますか。,Can we pay separately?,,,N4,restaurant,Betsubetsu ni haraemasu ka.,
p116,アレルギーがあります。,アレルギーがあります。,I have allergies.,,,N4,restaurant,Arerugii ga arimasu.,
p117,〜なしでお願いします。,〜なしでおねがいします。,Without ~ please.,,,N4,restaurant,~ nashi de onegai shimasu.,
p118,おいしいですね。,おいしいですね。,This is delicious, isn't it.,,,N5,restaurant,Oishii desu ne.,
p119,いくらですか。,いくらですか。,How much is it?,,,N5,shopping,Ikura desu ka.,
p120,安くなりませんか。,やすくなりませんか。,Can you make it cheaper?,,,N4,shopping,Yasuku narimasen ka.,
p121,試着してもいいですか。,しちゃくしてもいいですか。,May I try this on?,,,N4,shopping,Shichaku shite mo ii desu ka.,
p122,ギフト用に包んでもらえますか。,ギフトようにつつんでもらえますか。,Could you wrap it as a gift?,,,N3,shopping,Gifuto you ni tsutsunde moraemasu ka.,
p123,領収書をください。,りょうしゅうしょをください。,Please give me a receipt.,,,N4,shopping,Ryoushuusho wo kudasai.,
p124,病院はどこですか。,びょういんはどこですか。,Where is the hospital?,,,N5,health,Byouin wa doko desu ka.,
p125,熱があります。,ねつがあります。,I have a fever.,,,N5,health,Netsu ga arimasu.,
p126,頭が痛いです。,あたまがいたいです。,I have a headache.,,,N5,health,Atama ga itai desu.,
p127,お腹が痛いです。,おなかがいたいです。,I have a stomach ache.,,,N5,health,Onaka ga itai desu.,
p128,この薬は一日何回飲みますか。,このくすりはいちにちなんかいのみますか。,How many times a day should I take this medicine?,,,N4,health,Kono kusuri wa ichinichi nankai nomimasu ka.,
p129,アレルギーはありますか。,アレルギーはありますか。,Do you have any allergies?,,,N4,health,Arerugii wa arimasu ka.,
p130,保険証を持っています。,ほけんしょうをもっています。,I have my insurance card.,,,N4,health,Hokenshou wo motte imasu.,
p131,宿題を忘れました。,しゅくだいをわすれました。,I forgot my homework.,,,N5,school,Shukudai wo wasuremashita.,
p132,もう一度説明してもらえますか。,もういちどせつめいしてもらえますか。,Could you explain it once more?,,,N4,school,Mou ichido setsumei shite moraemasu ka.,
p133,テストはいつですか。,テストはいつですか。,When is the test?,,,N5,school,Tesuto wa itsu desu ka.,
p134,この問題が分かりません。,このもんだいがわかりません。,I don't understand this problem.,,,N4,school,Kono mondai ga wakarimasen.,
p135,図書館で勉強しませんか。,としょかんでべんきょうしませんか。,Would you like to study at the library?,,,N4,school,Toshokan de benkyou shimasen ka.,
p136,ご連絡をお願いします。,ごれんらくをおねがいします。,Please contact me.,,,N3,work,Go-renraku wo onegai shimasu.,
p137,お世話になっております。,おせわになっております。,Thank you for your continued support. (business email opener),,,N3,work,Osewa ni natte orimasu.,
p138,よろしくお願いいたします。,よろしくおねがいいたします。,I humbly ask for your cooperation.,,,N3,work,Yoroshiku onegai itashimasu.,
p139,〜についてご確認いただけますか。,〜についてごかくにんいただけますか。,Could you please confirm ~ ?,,,N2,work,~ ni tsuite go-kakunin itadakemasu ka.,
p140,ご不便をおかけして申し訳ありません。,ごふべんをおかけしてもうしわけありません。,I am sorry for the inconvenience.,,,N2,work,Go-fuben wo okake shite moushiwake arimasen.,
p141,〜まで何分かかりますか。,〜までなんぷんかかりますか。,How many minutes does it take to ~?,,,N5,transport,~ made nanpun kakarimasu ka.,
p142,〜番線はどこですか。,〜ばんせんはどこですか。,Where is platform ~?,,,N4,transport,~ bansen wa doko desu ka.,
p143,この電車は〜に止まりますか。,このでんしゃは〜にとまりますか。,Does this train stop at ~?,,,N4,transport,Kono densha wa ~ ni tomarimasu ka.,
p144,乗り換えはどこでしますか。,のりかえはどこでしますか。,Where do I transfer?,,,N4,transport,Norikae wa doko de shimasu ka.,
p145,パスポートを見せてください。,パスポートをみせてください。,Please show your passport.,,,N4,travel,Pasupooto wo misete kudasai.,
p146,〜さんをお願いします。,〜さんをおねがいします。,May I speak to ~ please?,,,N4,communication,~ san wo onegai shimasu.,
p147,少々お待ちください。,しょうしょうおまちください。,Please wait a moment.,,,N4,communication,Shoushou omachi kudasai.,
p148,折り返しご連絡いたします。,おりかえしごれんらくいたします。,I will call you back.,,,N3,communication,Orikaeshi go-renraku itashimasu.,
p149,伝言をお願いできますか。,でんごんをおねがいできますか。,Could you take a message?,,,N3,communication,Dengon wo onegai dekimasu ka.,
p150,メールを送りました。,メールをおくりました。,I sent you an email.,,,N4,communication,Meeru wo okurimashita.,
p151,申し訳ありません。,もうしわけありません。,I am terribly sorry.,,,N3,social,Moushiwake arimasen.,
p152,お気持ちだけいただきます。,おきもちだけいただきます。,I appreciate the thought (polite decline of a gift/offer).,,,N3,social,Okimochi dake itadakimasu.,
p153,遠慮なくどうぞ。,えんりょなくどうぞ。,Please, don't hold back.,,,N3,social,Enryo naku douzo.,
p154,ご迷惑をかけてすみません。,ごめいわくをかけてすみません。,I'm sorry to have caused you trouble.,,,N3,social,Go-meiwaku wo kakete sumimasen.,
p155,〜に越したことはない。,〜にこしたことはない。,Nothing is better than ~.,,,N2,idiomatic,~ ni koshita koto wa nai.,
p156,〜とは限らない。,〜とはかぎらない。,It's not necessarily the case that ~.,,,N2,idiomatic,~ to wa kagiranai.,
p157,〜に違いない。,〜にちがいない。,There is no doubt that ~.,,,N3,idiomatic,~ ni chigai nai.,
p158,〜ざるを得ない。,〜ざるをえない。,Cannot help but ~; have no choice but to ~.,,,N2,idiomatic,~ zaru wo enai.,
p159,〜に反して。,〜にはんして。,Contrary to ~; against ~.,,,N2,idiomatic,~ ni hanshite.,
p160,〜を踏まえて。,〜をふまえて。,Based on ~; taking ~ into account.,,,N1,idiomatic,~ wo fumaete.,
p161,〜に際して。,〜にさいして。,On the occasion of ~; when ~.,,,N1,idiomatic,~ ni saishite.,
p162,〜を余儀なくされる。,〜をよぎなくされる。,To be forced to ~; compelled to ~.,,,N1,idiomatic,~ wo yogi naku sareru.,
p163,〜にもかかわらず。,〜にもかかわらず。,Despite ~; in spite of ~.,,,N2,idiomatic,~ ni mo kakawarazu.,
p164,〜に基づいて。,〜にもとづいて。,Based on ~; in accordance with ~.,,,N2,idiomatic,~ ni motozuite.,
p165,今日はいい天気ですね。,きょうはいいてんきですね。,The weather is nice today, isn't it.,,,N5,weather,Kyou wa ii tenki desu ne.,
p166,雨が降りそうですね。,あめがふりそうですね。,It looks like it's going to rain.,,,N4,weather,Ame ga furisou desu ne.,
p167,今日は寒いですね。,きょうはさむいですね。,It's cold today, isn't it.,,,N5,weather,Kyou wa samui desu ne.,
p168,傘を持っていった方がいいですよ。,かさをもっていったほうがいいですよ。,You should bring an umbrella.,,,N4,weather,Kasa wo motte itta hou ga ii desu yo.,
p169,一緒に食事しませんか。,いっしょにしょくじしませんか。,Would you like to eat together?,,,N4,social,Issho ni shokuji shimasen ka.,
p170,週末は何か予定がありますか。,しゅうまつはなにかよていがありますか。,Do you have any plans this weekend?,,,N4,social,Shuumatsu wa nanika yotei ga arimasu ka.,
p171,ぜひ来てください。,ぜひきてください。,Please come by all means.,,,N4,social,Zehi kite kudasai.,
p172,また今度にしましょう。,またこんどにしましょう。,Let's do it next time.,,,N4,social,Mata kondo ni shimashou.,
